priority,severity,category,description_length,resolution_hours
HIGH,CRITICAL,Backend,250,12
MEDIUM,MAJOR,Frontend,200,24
LOW,MINOR,Database,100,8
HIGH,CRITICAL,Backend,280,18
MEDIUM,MAJOR,Frontend,180,36
LOW,MINOR,Database,120,4
HIGH,MAJOR,Backend,300,48
CRITICAL,CRITICAL,Database,320,72
MEDIUM,MINOR,Frontend,160,20
LOW,TRIVIAL,Backend,90,2
HIGH,CRITICAL,Backend,240,14
MEDIUM,MAJOR,Frontend,210,28
LOW,MINOR,Database,110,6
HIGH,CRITICAL,Backend,270,16
MEDIUM,MAJOR,Frontend,190,32
LOW,MINOR,Database,130,5
HIGH,MAJOR,Backend,310,50
CRITICAL,CRITICAL,Database,330,80
MEDIUM,MINOR,Frontend,170,22
LOW,TRIVIAL,Backend,95,3
